,Unnamed: 0,Unnamed: 0.1,index,season,team,description,situation,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
416,16,1,FromCorner,2018,Leicester,Leicester xG stats for the 2018/2019 season ,FromCorner,52,2,3.960313787683845,51.0,3.0,3.827673807740212,0.13263997994363308,0.07615988053238162,0.07505242760274924,75
417,17,2,OpenPlay,2018,Leicester,Leicester xG stats for the 2018/2019 season ,OpenPlay,222,21,23.42662160750479,205.0,24.0,21.56030426872894,1.866317338775844,0.10552532255632786,0.10517221594501924,75
418,18,3,Penalty,2018,Leicester,Leicester xG stats for the 2018/2019 season ,Penalty,5,4,3.8058441877365112,3.0,3.0,2.2835065126419067,1.5223376750946045,0.7611688375473022,0.7611688375473022,75
419,19,4,SetPiece,2018,Leicester,Leicester xG stats for the 2018/2019 season ,SetPiece,22,2,2.3549766344949603,15.0,1.0,2.219417431391776,0.1355592031031847,0.10704439247704366,0.14796116209278504,75
420,20,0,DirectFreekick,2018,Crystal_Palace,Crystal Palace xG stats for the 2018/2019 season ,DirectFreekick,12,0,0.686517309397459,11.0,1.0,0.7518351785838604,-0.06531786918640138,0.057209775783121586,0.06834865259853276,78
421,21,1,FromCorner,2018,Crystal_Palace,Crystal Palace xG stats for the 2018/2019 season ,FromCorner,57,3,5.436512885615231,45.0,5.0,3.927109602838754,1.509403282776475,0.09537741904588122,0.08726910228530567,78
422,22,2,OpenPlay,2018,Crystal_Palace,Crystal Palace xG stats for the 2018/2019 season ,OpenPlay,227,15,18.34306510305032,224.0,22.0,23.817462232895192,-5.474397129844874,0.08080645419845958,0.10632795639685357,78
423,23,3,Penalty,2018,Crystal_Palace,Crystal Palace xG stats for the 2018/2019 season ,Penalty,7,6,5.328145086765289,4.0,3.0,3.044675350189209,2.2834697365760803,0.7611635838236127,0.7611688375473022,78
424,24,4,SetPiece,2018,Crystal_Palace,Crystal Palace xG stats for the 2018/2019 season ,SetPiece,21,2,1.2965311729349196,26.0,2.0,1.8945187777280807,-0.5979876047931612,0.0617395796635676,0.07286610683569543,78
425,25,0,DirectFreekick,2018,Chelsea,Chelsea xG stats for the 2018/2019 season ,DirectFreekick,19,0,1.153171073645353,5.0,0.0,0.2780064418911934,0.8751646317541599,0.060693214402387015,0.05560128837823868,80
426,26,1,FromCorner,2018,Chelsea,Chelsea xG stats for the 2018/2019 season ,FromCorner,46,4,5.7361268643289804,32.0,3.0,2.2354381587356333,3.5006887055933475,0.12469841009410827,0.06985744246048853,80
427,27,2,OpenPlay,2018,Chelsea,Chelsea xG stats for the 2018/2019 season ,OpenPlay,304,33,30.86428449116647,168.0,16.0,18.231699745636433,12.632584745530036,0.1015272516156792,0.10852202229545496,80
428,28,3,Penalty,2018,Chelsea,Chelsea xG stats for the 2018/2019 season ,Penalty,5,5,3.8058441877365112,0.0,0.0,0.0,3.8058441877365112,0.7611688375473022,,80
429,29,4,SetPiece,2018,Chelsea,Chelsea xG stats for the 2018/2019 season ,SetPiece,21,3,3.4097703676670785,18.0,4.0,2.7717722421512008,0.6379981255158782,0.16237001750795615,0.1539873467861778,80
430,30,0,DirectFreekick,2018,West_Ham,West Ham xG stats for the 2018/2019 season ,DirectFreekick,8,0,0.5999985523521899,14.0,0.0,0.8877236060798168,-0.2877250537276268,0.07499981904402375,0.0634088290057012,81
431,31,1,FromCorner,2018,West_Ham,West Ham xG stats for the 2018/2019 season ,FromCorner,51,3,3.8431155998259774,46.0,8.0,5.9247020008042455,-2.0815864009782667,0.07535520783972506,0.12879786958270098,81
432,32,2,OpenPlay,2018,West_Ham,West Ham xG stats for the 2018/2019 season ,OpenPlay,198,24,22.350831479299814,233.0,25.0,30.11997054517269,-7.769139065872878,0.11288298726919098,0.12927025985052654,81
433,33,3,Penalty,2018,West_Ham,West Ham xG stats for the 2018/2019 season ,Penalty,1,1,0.7610946297645569,2.0,1.0,1.5223376750946045,-0.7612430453300476,0.7610946297645569,0.7611688375473022,81
434,34,4,SetPiece,2018,West_Ham,West Ham xG stats for the 2018/2019 season ,SetPiece,17,2,2.4681636663153768,22.0,3.0,2.18277280125767,0.28539086505770683,0.14518609801855156,0.09921694551171227,81
435,35,0,DirectFreekick,2018,Tottenham,Tottenham xG stats for the 2018/2019 season ,DirectFreekick,17,1,0.8276983667165041,6.0,0.0,0.3579057306051254,0.4697926361113786,0.048688139218617886,0.05965095510085424,82
436,36,1,FromCorner,2018,Tottenham,Tottenham xG stats for the 2018/2019 season ,FromCorner,62,7,6.692918346263468,55.0,4.0,4.121125324629247,2.5717930216342206,0.10795029590747528,0.0749295513568954,82
437,37,2,OpenPlay,2018,Tottenham,Tottenham xG stats for the 2018/2019 season ,OpenPlay,241,37,33.80832262802869,216.0,16.0,21.77457483951002,12.033747788518667,0.1402834963818618,0.10080821684958344,82
438,38,3,Penalty,2018,Tottenham,Tottenham xG stats for the 2018/2019 season ,Penalty,3,3,2.2834697365760803,3.0,3.0,2.2835065126419067,-3.6776065826416016e-05,0.7611565788586935,0.7611688375473022,82
439,39,4,SetPiece,2018,Tottenham,Tottenham xG stats for the 2018/2019 season ,SetPiece,16,3,2.363643540069461,22.0,1.0,1.6298134997487068,0.733830040320754,0.1477277212543413,0.0740824318067594,82
440,40,0,DirectFreekick,2018,Arsenal,Arsenal xG stats for the 2018/2019 season ,DirectFreekick,7,2,0.36617280542850494,11.0,0.0,0.7790817134082317,-0.4129089079797268,0.05231040077550071,0.07082561030983925,83
441,41,1,FromCorner,2018,Arsenal,Arsenal xG stats for the 2018/2019 season ,FromCorner,43,7,3.4847846226766706,36.0,1.0,1.7730550300329924,1.7117295926436782,0.08104150285294583,0.04925152861202756,83
442,42,2,OpenPlay,2018,Arsenal,Arsenal xG stats for the 2018/2019 season ,OpenPlay,251,39,38.61079450044781,245.0,27.0,25.897158293519173,12.713636206928642,0.15382786653564864,0.10570268691232314,83
443,43,3,Penalty,2018,Arsenal,Arsenal xG stats for the 2018/2019 season ,Penalty,2,2,1.5223376750946045,5.0,5.0,3.805807411670685,-2.2834697365760803,0.7611688375473022,0.7611614823341369,83
444,44,4,SetPiece,2018,Arsenal,Arsenal xG stats for the 2018/2019 season ,SetPiece,9,1,1.2371778683736925,26.0,3.0,3.6754053328186274,-2.438227464444936,0.1374642075970769,0.1413617435699472,83
445,45,0,DirectFreekick,2018,Newcastle_United,Newcastle United xG stats for the 2018/2019 season ,DirectFreekick,9,0,0.5682978499680758,27.0,2.0,1.3388289008289576,-0.7705310508608818,0.06314420555200842,0.049586255586257684,86
446,46,1,FromCorner,2018,Newcastle_United,Newcastle United xG stats for the 2018/2019 season ,FromCorner,41,4,3.535935983993113,73.0,7.0,8.802951464429498,-5.267015480436385,0.08624234107300276,0.12058837622506162,86
447,47,2,OpenPlay,2018,Newcastle_United,Newcastle United xG stats for the 2018/2019 season ,OpenPlay,184,14,16.746959623415023,225.0,19.0,25.69645628333092,-8.949496659915894,0.09101608490986424,0.11420647237035965,86
448,48,3,Penalty,2018,Newcastle_United,Newcastle United xG stats for the 2018/2019 season ,Penalty,2,1,1.5223376750946045,3.0,3.0,2.2835065126419067,-0.7611688375473022,0.7611688375473022,0.7611688375473022,86
449,49,4,SetPiece,2018,Newcastle_United,Newcastle United xG stats for the 2018/2019 season ,SetPiece,28,2,2.2430445034988225,25.0,2.0,4.51691234856844,-2.2738678450696166,0.08010873226781509,0.1806764939427376,86
